,Time,Units
138,2023-05-15 12:25:09,4.0,impacts
139,2023-05-15 12:25:09,1.0,impacts
140,2023-05-15 12:25:10,3.0,impacts
141,2023-05-15 12:25:10,1.0,impacts
142,2023-05-15 12:25:10,2.0,impacts
143,2023-05-15 12:25:10,3.0,impacts
144,2023-05-15 12:25:10,1.0,impacts
145,2023-05-15 12:25:18,3.0,impacts
146,2023-05-15 12:25:18,1.0,impacts
147,2023-05-15 12:25:29,2.0,impacts
148,2023-05-15 12:25:29,3.0,impacts
149,2023-05-15 12:25:29,4.0,impacts
150,2023-05-15 12:25:29,1.0,impacts
151,2023-05-15 12:25:29,2.0,impacts
152,2023-05-15 12:25:30,3.0,impacts
153,2023-05-15 12:25:30,4.0,impacts
154,2023-05-15 12:25:30,1.0,impacts
155,2023-05-15 12:25:30,2.0,impacts
156,2023-05-15 12:25:30,3.0,impacts
157,2023-05-15 12:25:30,4.0,impacts
158,2023-05-15 12:25:30,1.0,impacts
159,2023-05-15 12:25:35,2.0,impacts
160,2023-05-15 12:25:35,1.0,impacts
161,2023-05-15 12:25:50,2.0,impacts
162,2023-05-15 12:25:50,3.0,impacts
163,2023-05-15 12:25:50,4.0,impacts
164,2023-05-15 12:25:50,1.0,impacts
165,2023-05-15 12:25:50,2.0,impacts
166,2023-05-15 12:25:50,3.0,impacts
167,2023-05-15 12:25:50,4.0,impacts
168,2023-05-15 12:25:50,1.0,impacts
169,2023-05-15 12:25:50,2.0,impacts
170,2023-05-15 12:25:51,3.0,impacts
171,2023-05-15 12:25:51,4.0,impacts
172,2023-05-15 12:25:51,1.0,impacts
173,2023-05-15 12:26:00,2.0,impacts
174,2023-05-15 12:26:00,1.0,impacts
175,2023-05-15 12:26:26,2.0,impacts
176,2023-05-15 12:26:26,1.0,impacts
177,2023-05-15 12:26:51,2.0,impacts
178,2023-05-15 12:26:53,1.0,impacts
179,2023-05-15 12:27:05,2.0,impacts
180,2023-05-15 12:27:05,1.0,impacts
181,2023-05-15 12:27:15,2.0,impacts
182,2023-05-15 12:27:16,1.0,impacts
183,2023-05-15 12:27:23,2.0,impacts
184,2023-05-15 12:27:24,1.0,impacts
185,2023-05-15 12:27:59,2.0,impacts
186,2023-05-15 12:28:02,3.0,impacts
187,2023-05-15 12:28:02,2.0,impacts
188,2023-05-15 12:28:02,3.0,impacts
189,2023-05-15 12:28:02,2.0,impacts
190,2023-05-15 12:28:10,3.0,impacts
191,2023-05-15 12:28:10,2.0,impacts
192,2023-05-15 12:28:18,1.0,impacts
193,2023-05-15 12:28:25,2.0,impacts
194,2023-05-15 12:28:35,3.0,impacts
195,2023-05-15 12:28:35,2.0,impacts
196,2023-05-15 12:28:36,3.0,impacts
197,2023-05-15 12:28:36,4.0,impacts
198,2023-05-15 12:28:36,5.0,impacts
199,2023-05-15 12:28:36,4.0,impacts
200,2023-05-15 12:28:36,2.0,impacts
201,2023-05-15 12:28:36,3.0,impacts
202,2023-05-15 12:28:36,2.0,impacts
203,2023-05-15 12:28:38,1.0,impacts
204,2023-05-15 12:28:43,2.0,impacts
205,2023-05-15 12:28:43,1.0,impacts
206,2023-05-15 12:28:49,2.0,impacts
207,2023-05-15 12:28:56,1.0,impacts
208,2023-05-15 12:29:12,0.0,impacts
